City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
281,Geraldton,-28.7667,114.6,80.6,24,0,5.75,AU,1612131594
282,Upernavik,72.7868,-56.1549,1.74,92,100,7.47,GL,1612132117
283,Soanierana Ivongo,-16.9167,49.5833,77.63,83,16,2.42,MG,1612131864
284,Pacific Grove,36.6177,-121.9166,57.99,67,1,4.61,US,1612131462
285,San Juan,-31.5375,-68.5364,70.97,45,69,22.97,AR,1612131521
286,Medicine Hat,50.0501,-110.6683,44.6,42,75,14.97,CA,1612131865
287,Iberia,29.9502,-91.7507,62.6,55,1,19.57,US,1612131865
288,Port Hardy,50.6996,-127.4199,42.8,93,75,2.3,CA,1612132119
289,Anáhuac,27.2333,-100.15,78.8,17,20,10.36,MX,1612131866
290,Coelho Neto,-4.2567,-43.0128,79.66,79,98,2.08,BR,1612131866
291,Verāval,20.9,70.3667,67.73,47,0,9.01,IN,1612131866
292,Yar-Sale,66.8333,70.8333,-10.55,90,93,7.0,RU,1612131928
293,Bonavista,48.6499,-53.1147,32.0,93,100,6.91,CA,1612131867
294,Sur,22.5667,59.5289,68.99,56,0,3.94,OM,1612132120
295,Dhidhdhoo,6.8833,73.1,82.08,70,70,7.05,MV,1612131867
296,Nizhniy Kuranakh,58.8353,125.4869,-40.2,78,100,4.34,RU,1612131585
297,Virginia Beach,36.8529,-75.978,48.0,93,100,1.99,US,1612131703
298,Nioro,13.35,-15.75,81.32,14,68,5.53,GM,1612131868
299,Chifeng,42.2683,118.9636,1.27,82,0,10.07,CN,1612131533
300,Quzhou,28.9594,118.8686,55.09,84,90,1.48,CN,1612131868
301,Yerofey Pavlovich,53.9667,121.9667,-30.55,78,100,3.53,RU,1612131868
302,Garoowe,8.4054,48.4845,63.73,81,0,8.88,SO,1612132122
303,Iaciara,-14.0958,-46.6317,81.16,47,91,0.34,BR,1612131869
304,Juneau,58.3019,-134.4197,26.6,80,20,5.75,US,1612131869
305,Kerema,-7.9631,145.7785,76.26,90,100,13.65,PG,1612131870
306,Narsaq,60.9167,-46.05,39.2,33,75,18.41,GL,1612132123
